kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3508,Lumajang,2022,4.97,0.91,735988,1049583,70.12194366715163,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
3508,Lumajang,2023,3.67,0.64,735106,1051412,69.91607476422182,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3508,Lumajang,2024,3.28,0.63,733758,1052961,69.68520201602908,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3508,Lumajang,2025,3.08,0.61,731755,1054220,69.41198231868111,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3509,Jember,2018,4.01,0.56,1679264,2440752,68.8010908113565,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3509,Jember,2019,3.69,0.54,1683948,2451771,68.68292348673674,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3509,Jember,2020,5.12,0.81,1687474,2462003,68.54069633546345,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3509,Jember,2021,5.44,0.72,1689896,2471542,68.37415670055374,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3509,Jember,2022,4.06,0.7,1691342,2480477,68.18615935564006,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3509,Jember,2023,4.01,0.71,1691561,2488791,67.96717763765619,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3509,Jember,2024,3.23,0.7,1690705,2496461,67.7240701937663,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3509,Jember,2025,3.07,0.68,1688236,2503458,67.43616230030621,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3510,Banyuwangi,2018,3.59,0.42,1096609,1609244,68.14435846894567,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3510,Banyuwangi,2019,3.95,0.4,1097584,1614187,67.99608719435852,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3510,Banyuwangi,2020,5.34,0.91,1097856,1618598,67.82758906164472,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
