kode_wilayah,kepadatan,semester,tahun
3528,1034.82,1,2018
3528,1036.23,2,2018
3528,1040.6,1,2019
3528,1043.88,2,2019
3528,1048.23,1,2020
3528,1050.52,2,2020
3528,1061.2819347672,1,2021
3528,1066.73482783,2,2021
3528,1078.0,1,2022
3528,1093.77,2,2022
3528,1102.56,1,2023
3528,1110.0,2,2023
3528,1119.03,1,2024
3528,1119.03,2,2024
3528,1119.03,1,2025
3528,0.0,2,2025
3529,565.33,1,2018
3529,565.68,2,2018
3529,567.29,1,2019
3529,567.48,2,2019
3529,569.18,1,2020
3529,569.5,2,2020
3529,567.789486325,1,2021
3529,567.819508241,2,2021
3529,545.0,1,2022
3529,545.05,2,2022
3529,546.51,1,2023
3529,548.0,2,2023
3529,547.48,1,2024
3529,547.48,2,2024
3529,547.48,1,2025
3529,0.0,2,2025
3571,4602.6,1,2018
3571,4605.82,2,2018
3571,4627.27,1,2019
3571,4652.21,2,2019
3571,4670.73,1,2020
3571,4609.81,2,2020
3571,4611.403785489,1,2021
3571,4615.094637224,2,2021
3571,4362.0,1,2022
3571,4383.34,2,2022
3571,4414.58,1,2023
3571,4445.0,2,2023
3571,4469.08,1,2024
3571,4469.08,2,2024
3571,4469.08,1,2025
3571,0.0,2,2025
3572,4787.04,1,2018
3572,4812.19,2,2018
3572,4834.66,1,2019
3572,4847.41,2,2019
3572,4861.81,1,2020
3572,4860.7,2,2020
3572,4854.8664415106,1,2021
3572,4858.5815167332,2,2021
3572,4772.0,1,2022
3572,4775.84,2,2022
3572,4801.39,1,2023
3572,4812.0,2,2023
3572,4835.51,1,2024
3572,4835.51,2,2024
3572,4835.51,1,2025
3572,0.0,2,2025
3573,5827.66,1,2018
3573,5832.72,2,2018
3573,5896.34,1,2019
3573,5922.71,2,2019
3573,5945.65,1,2020
3573,5962.64,2,2020
3573,5963.3535242291,1,2021
3573,5964.1863986784,2,2021
3573,7806.0,1,2022
3573,7842.3,2,2022
3573,7874.14,1,2023
3573,7930.0,2,2023
