kode_wilayah,nama_wilayah,tipe_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_bps,rasio_jenis_kelamin,tahun,jumlah_penduduk_miskin,tpt,ipm,kepadatan_sipil_smt1,kepadatan_sipil_smt2,kepadatan_sipil_tahunan
3514,Pasuruan,Kabupaten,1644.5,0.86,3.96,1101.0,100.1,2023,154.09,5.48,71.91,1086.63,1094.0,1090.315
3514,Pasuruan,Kabupaten,1657.2,0.84,3.96,1110.0,100.1,2024,144.84,5.02,72.36,1098.74,1098.74,1098.74
3514,Pasuruan,Kabupaten,1669400.0,0.82,3.97,1118.0,100.0,2025,138.43,4.22,73.02,1098.74,0.0,1098.74
3515,Sidoarjo,Kabupaten,2217.0,1.65,9.33,3495.0,101.0,2018,125.75,4.62,79.5,2945.52,2967.36,2956.44
3515,Sidoarjo,Kabupaten,2249.0,1.63,5.67,3546.0,101.0,2019,119.29,4.62,80.05,3016.83,3036.96,3026.895
3515,Sidoarjo,Kabupaten,2082.8,0.68,5.12,3283.0,101.4,2020,127.05,10.97,80.65,3049.13,3058.19,3053.66
3515,Sidoarjo,Kabupaten,2091.9,0.58,5.12,3298.0,101.4,2021,137.15,10.87,81.01,3076.5834357956,3077.9107159747,3077.24707588515
3515,Sidoarjo,Kabupaten,2103.4,0.56,5.11,2905.0,101.3,2022,125.69,8.8,81.37,2691.0,2718.45,2704.725
3515,Sidoarjo,Kabupaten,2148.7,1.14,5.17,2968.0,101.1,2023,119.15,8.05,81.88,2738.71,2758.0,2748.355
3515,Sidoarjo,Kabupaten,2171.5,1.12,5.19,2999.0,101.0,2024,109.39,6.49,82.67,2766.19,2766.19,2766.19
3515,Sidoarjo,Kabupaten,2193692.0,1.1,5.21,3030.0,100.8,2025,107.57,5.75,83.35,2766.19,0.0,2766.19
3516,Mojokerto,Kabupaten,1109.0,0.97,4.12,1545.0,99.8,2018,111.55,4.21,72.64,1548.0,1560.6,1554.3
3516,Mojokerto,Kabupaten,1118.0,0.95,2.82,1557.0,99.8,2019,108.81,3.61,73.53,1579.74,1585.93,1582.835
3516,Mojokerto,Kabupaten,1119.2,0.85,2.75,1559.0,101.2,2020,118.8,5.75,74.58,1592.31,1596.74,1594.525
3516,Mojokerto,Kabupaten,1125.5,0.75,2.75,1568.0,101.2,2021,120.54,5.54,74.9,1570.0834459412,1570.9123330036,1570.4978894724
3516,Mojokerto,Kabupaten,1133.6,0.73,2.75,1151.0,101.1,2022,111.03,4.83,75.61,1146.0,1152.62,1149.31
3516,Mojokerto,Kabupaten,1145.5,0.85,2.76,1163.0,101.1,2023,112.86,4.67,76.23,1157.23,1165.0,1161.115
3516,Mojokerto,Kabupaten,1154.3,0.83,2.76,1172.0,101.1,2024,108.72,3.87,76.69,1170.9,1170.9,1170.9
3516,Mojokerto,Kabupaten,1162696.0,0.81,2.76,1181.0,101.0,2025,102.67,3.49,77.46,1170.9,0.0,1170.9
3517,Jombang,Kabupaten,1259.0,0.57,3.01,1129.0,99.0,2018,120.19,4.56,71.86,1170.8,1188.35,1179.5749999999998
3517,Jombang,Kabupaten,1264.0,0.55,3.18,1133.0,99.0,2019,116.44,4.28,72.85,1201.22,1204.58,1202.9
3517,Jombang,Kabupaten,1318.1,0.89,3.24,1182.0,101.7,2020,125.94,7.48,73.63,1209.41,1210.76,1210.085
3517,Jombang,Kabupaten,1325.9,0.8,3.24,1189.0,101.7,2021,127.3,7.09,74.1,1211.0977589253,1211.9380498435,1211.5179043844
3517,Jombang,Kabupaten,1336.0,0.77,3.25,1204.0,101.6,2022,115.48,5.47,74.66,1219.0,1224.8,1221.9
3517,Jombang,Kabupaten,1351.3,0.91,3.25,1218.0,101.6,2023,117.36,4.66,75.16,1229.7,1235.0,1232.35
3517,Jombang,Kabupaten,1362.7,0.89,3.26,1228.0,101.6,2024,110.57,3.75,75.67,1238.54,1238.54,1238.54
3517,Jombang,Kabupaten,1373793.0,0.88,3.26,1238.0,101.5,2025,107.82,3.28,76.37,1238.54,0.0,1238.54
3518,Nganjuk,Kabupaten,1052.0,0.42,2.29,859.0,98.9,2018,127.28,2.6,71.23,905.96,908.43,907.1949999999999
3518,Nganjuk,Kabupaten,1055.0,0.4,2.66,861.0,98.9,2019,118.51,3.16,71.71,914.44,917.67,916.0550000000001
3518,Nganjuk,Kabupaten,1103.9,0.8,2.71,902.0,101.2,2020,122.73,4.8,72.78,921.35,922.14,921.745
3518,Nganjuk,Kabupaten,1109.7,0.7,2.71,906.0,101.2,2021,125.53,4.98,73.03,925.9187257505,926.2070655503,926.0628956503999
3518,Nganjuk,Kabupaten,1117.0,0.68,2.71,867.0,101.1,2022,113.63,4.74,73.95,880.0,880.54,880.27
3518,Nganjuk,Kabupaten,1124.7,0.68,2.71,872.0,101.1,2023,115.86,4.68,74.7,884.06,888.0,886.03
3518,Nganjuk,Kabupaten,1131.8,0.67,2.71,878.0,101.0,2024,108.37,3.87,75.24,891.04,891.04,891.04
3518,Nganjuk,Kabupaten,1138604.0,0.65,2.71,883.0,100.9,2025,107.3,3.84,75.89,891.04,0.0,891.04
3519,Madiun,Kabupaten,681.0,0.35,1.75,656.0,97.5,2018,77.75,3.71,71.01,713.6,713.98,713.79
3519,Madiun,Kabupaten,683.0,0.33,1.72,658.0,97.5,2019,71.91,3.52,71.69,718.97,721.94,720.455
3519,Madiun,Kabupaten,744.4,1.14,1.83,717.0,98.3,2020,78.3,4.8,72.94,724.82,726.85,725.835
3519,Madiun,Kabupaten,750.1,1.04,1.84,723.0,98.2,2021,81.61,4.99,73.07,726.9444283814,727.1304381349,727.03743325815
3519,Madiun,Kabupaten,757.7,1.02,1.84,6668.0,98.2,2022,74.07,5.84,73.51,678.0,678.62,678.31
3519,Madiun,Kabupaten,754.5,0.49,1.82,678.0,98.0,2023,75.87,5.14,74.02,681.12,671.0,676.06
3519,Madiun,Kabupaten,757.8,0.48,1.81,681.0,97.9,2024,73.15,4.34,74.81,663.8,663.8,663.8
3519,Madiun,Kabupaten,760948.0,0.47,1.81,683.0,97.8,2025,71.59,3.22,75.47,663.8,0.0,663.8
3520,Magetan,Kabupaten,629.0,0.17,2.44,913.0,95.0,2018,64.86,3.82,72.91,1003.75,1004.5,1004.125
3520,Magetan,Kabupaten,629.0,0.15,1.58,913.0,95.0,2019,60.43,2.98,73.49,1010.95,1014.86,1012.905
3520,Magetan,Kabupaten,670.8,0.76,1.65,974.0,96.8,2020,65.09,3.74,74.85,1018.91,1000.54,1009.7249999999999
3520,Magetan,Kabupaten,674.1,0.66,1.65,979.0,96.8,2021,67.75,3.86,75.08,1000.767957726,1001.0176528657,1000.8928052958499
3520,Magetan,Kabupaten,678.3,0.64,1.65,960.0,96.8,2022,62.65,4.33,75.76,977.0,977.08,977.04
3520,Magetan,Kabupaten,681.7,0.59,1.64,965.0,96.8,2023,62.49,4.16,76.3,979.02,980.0,979.51
3520,Magetan,Kabupaten,685.5,0.58,1.64,970.0,96.8,2024,59.51,3.28,76.77,979.98,979.98,979.98
3520,Magetan,Kabupaten,689209.0,0.57,1.64,976.0,96.7,2025,58.38,3.26,77.58,979.98,0.0,979.98
3521,Ngawi,Kabupaten,830.0,0.19,1.71,640.0,95.7,2018,123.09,3.75,69.91,698.71,699.8,699.255
3521,Ngawi,Kabupaten,830.0,0.17,2.09,641.0,95.6,2019,119.43,3.6,70.41,702.2,704.91,703.5550000000001
3521,Ngawi,Kabupaten,870.1,0.6,2.14,671.0,98.6,2020,128.19,5.44,71.49,707.21,706.82,707.0150000000001
3521,Ngawi,Kabupaten,873.3,0.5,2.14,674.0,98.6,2021,130.81,4.25,71.97,691.961295699,692.111760984,692.0365283414999
3521,Ngawi,Kabupaten,877.4,0.48,2.13,629.0,98.5,2022,119.02,2.48,72.62,643.0,643.6,643.3
3521,Ngawi,Kabupaten,880.7,0.44,2.12,631.0,98.3,2023,121.3,2.41,73.28,645.97,648.0,646.985
3521,Ngawi,Kabupaten,884.1,0.43,2.11,633.0,98.1,2024,116.47,2.4,73.91,648.85,648.85,648.85
3521,Ngawi,Kabupaten,887172.0,0.41,2.11,636.0,98.0,2025,114.9,2.26,74.43,648.85,0.0,648.85
