Kabupaten_Kota,TPT,Tahun
Kota Batu,3.63,2024
Jawa Timur,4.19,2024
Kabupaten Pacitan,1.4,2025
Kabupaten Ponorogo,3.85,2025
Kabupaten Trenggalek,3.86,2025
Kabupaten Tulungagung,4.03,2025
Kabupaten Blitar,4.49,2025
Kabupaten Kediri,4.71,2025
Kabupaten Malang,5.0,2025
Kabupaten Lumajang,3.08,2025
Kabupaten Jember,3.07,2025
Kabupaten Banyuwangi,3.94,2025
Kabupaten Bondowoso,2.55,2025
Kabupaten Situbondo,3.02,2025
Kabupaten Probolinggo,2.92,2025
Kabupaten Pasuruan,4.22,2025
Kabupaten Sidoarjo,5.75,2025
Kabupaten Mojokerto,3.49,2025
Kabupaten Jombang,3.28,2025
Kabupaten Nganjuk,3.84,2025
Kabupaten Madiun,3.22,2025
Kabupaten Magetan,3.26,2025
Kabupaten Ngawi,2.26,2025
Kabupaten Bojonegoro,3.9,2025
Kabupaten Tuban,3.44,2025
Kabupaten Lamongan,4.29,2025
Kabupaten Gresik,5.47,2025
Kabupaten Bangkalan,5.31,2025
Kabupaten Sampang,2.44,2025
Kabupaten Pamekasan,1.33,2025
Kabupaten Sumenep,1.64,2025
Kota Kediri,3.76,2025
Kota Blitar,4.28,2025
Kota Malang,5.69,2025
Kota Probolinggo,4.93,2025
Kota Pasuruan,4.59,2025
Kota Mojokerto,4.66,2025
Kota Madiun,4.29,2025
Kota Surabaya,4.84,2025
Kota Batu,3.53,2025
Jawa Timur,3.88,2025
