Kabupaten_Kota,Jumlah_Penduduk,Laju_Pertumbuhan,Persentase_Penduduk,Kepadatan,Rasio_Jenis_Kelamin,Tahun
Mojokerto,1145.5,0.85,2.76,1163.0,101.1,2023
Jombang,1351.3,0.91,3.25,1218.0,101.6,2023
Nganjuk,1124.7,0.68,2.71,872.0,101.1,2023
Madiun,754.5,0.49,1.82,678.0,98.0,2023
Magetan,681.7,0.59,1.64,965.0,96.8,2023
Ngawi,880.7,0.44,2.12,631.0,98.3,2023
Bojonegoro,1319.6,0.5,3.18,571.0,100.7,2023
Tuban,1218.6,0.62,2.93,617.0,99.7,2023
Lamongan,1369.5,0.68,3.3,781.0,100.1,2023
Gresik,1350.4,1.08,3.25,1075.0,101.4,2023
Bangkalan,1091.8,1.07,2.63,839.0,97.6,2023
Sampang,1004.5,1.29,2.42,818.0,98.9,2023
Pamekasan,875.8,1.09,2.11,1101.0,96.7,2023
Sumenep,1146.6,0.71,2.76,550.0,94.0,2023
Kota Kediri,295.2,2.94,0.71,4391.0,100.5,2023
Kota Blitar,153.4,2.86,0.37,4619.0,98.6,2023
Kota Malang,865.3,2.55,2.08,7790.0,98.9,2023
Kota Probolinggo,247.0,3.08,0.59,4517.0,98.5,2023
Kota Pasuruan,216.4,4.04,0.52,5549.0,100.1,2023
Kota Mojokerto,136.1,2.8,0.33,6732.0,98.3,2023
Kota Madiun,200.0,2.45,0.48,5536.0,95.9,2023
Kota Surabaya,2911.4,1.29,7.01,8667.0,98.1,2023
Kota Batu,220.2,3.38,0.53,1134.0,101.3,2023
Keterangan,,,,,,2023
Pacitan,588.6,0.11,1.41,411.0,100.8,2024
Ponorogo,962.9,0.38,2.3,679.0,99.3,2024
Trenggalek,744.5,0.49,1.78,596.0,100.5,2024
Tulungagung,1113.9,0.58,2.66,973.0,100.1,2024
Blitar,1263.7,0.86,3.02,724.0,101.1,2024
Kediri,1689.9,0.88,4.04,1109.0,101.9,2024
Malang,2736.0,0.81,6.54,788.0,101.1,2024
Lumajang,1145.9,0.63,2.74,638.0,97.8,2024
Jember,2603.8,0.7,6.23,786.0,99.3,2024
Banyuwangi,1754.4,0.72,4.2,488.0,100.0,2024
Bondowoso,792.3,0.55,1.89,510.0,97.3,2024
Situbondo,700.7,0.57,1.68,424.0,96.6,2024
Probolinggo,1185.2,0.75,2.83,687.0,97.4,2024
Pasuruan,1657.2,0.84,3.96,1110.0,100.1,2024
Sidoarjo,2171.5,1.12,5.19,2999.0,101.0,2024
Mojokerto,1154.3,0.83,2.76,1172.0,101.1,2024
Jombang,1362.7,0.89,3.26,1228.0,101.6,2024
Nganjuk,1131.8,0.67,2.71,878.0,101.0,2024
Madiun,757.8,0.48,1.81,681.0,97.9,2024
Magetan,685.5,0.58,1.64,970.0,96.8,2024
Ngawi,884.1,0.43,2.11,633.0,98.1,2024
Bojonegoro,1325.3,0.48,3.17,573.0,100.6,2024
Tuban,1225.2,0.6,2.93,621.0,99.7,2024
Lamongan,1378.2,0.67,3.3,786.0,100.0,2024
Gresik,1364.0,1.06,3.26,1086.0,101.4,2024
Bangkalan,1102.5,1.04,2.64,847.0,97.7,2024
Sampang,1016.3,1.26,2.43,827.0,98.8,2024
Pamekasan,884.7,1.07,2.12,1113.0,96.8,2024
Sumenep,1153.2,0.68,2.76,553.0,94.1,2024
Kota Kediri,298.2,1.05,0.71,4436.0,100.6,2024
Kota Blitar,154.9,1.02,0.37,4664.0,98.5,2024
Kota Malang,872.7,0.9,2.09,7857.0,98.8,2024
Kota Probolinggo,249.5,1.09,0.6,4564.0,98.6,2024
Kota Pasuruan,219.4,1.43,0.52,5626.0,100.1,2024
Kota Mojokerto,137.4,0.99,0.33,6796.0,98.2,2024
Kota Madiun,201.8,0.89,0.48,5585.0,95.9,2024
Kota Surabaya,2922.0,0.44,6.99,8698.0,98.0,2024
Kota Batu,222.7,1.19,0.53,1147.0,101.3,2024
Keterangan,,,,,,2024
Pacitan,592.9,0.66,1.44,414.0,100.4,2022
Ponorogo,964.3,0.9,2.34,680.0,99.8,2022
Trenggalek,739.7,0.67,1.8,592.0,100.9,2022
Tulungagung,1105.3,0.81,2.69,966.0,100.1,2022
Blitar,1240.3,0.77,3.01,711.0,101.5,2022
Kediri,1656.0,0.72,4.02,1087.0,102.0,2022
Malang,2685.9,0.68,6.53,773.0,101.5,2022
Lumajang,1137.2,0.91,2.76,633.0,97.8,2022
Jember,2567.7,0.7,6.24,775.0,99.4,2022
Banyuwangi,1731.7,0.79,4.21,482.0,100.2,2022
Bondowoso,781.4,0.39,1.9,503.0,97.0,2022
Situbondo,691.3,0.44,1.68,418.0,96.4,2022
Probolinggo,1160.0,0.37,2.82,673.0,97.3,2022
Pasuruan,1619.0,0.46,3.93,1084.0,100.1,2022
Sidoarjo,2103.4,0.56,5.11,2905.0,101.3,2022
Mojokerto,1133.6,0.73,2.75,1151.0,101.1,2022
Jombang,1336.0,0.77,3.25,1204.0,101.6,2022
Nganjuk,1117.0,0.68,2.71,867.0,101.1,2022
Madiun,757.7,1.02,1.84,6668.0,98.2,2022
Magetan,678.3,0.64,1.65,960.0,96.8,2022
Ngawi,877.4,0.48,2.13,629.0,98.5,2022
Bojonegoro,1315.1,0.59,3.2,569.0,100.8,2022
Tuban,1209.5,0.55,2.94,613.0,99.7,2022
Lamongan,1371.5,1.16,3.33,783.0,100.1,2022
Gresik,1332.7,0.93,3.24,1061.0,101.4,2022
Bangkalan,1086.6,1.41,2.64,835.0,97.2,2022
Sampang,984.2,0.85,2.39,801.0,98.6,2022
Pamekasan,857.8,0.52,2.08,1079.0,96.2,2022
Sumenep,1136.6,0.62,2.76,545.0,93.2,2022
Kota Kediri,289.4,0.52,0.7,4305.0,100.2,2022
Kota Blitar,152.0,1.07,0.37,4577.0,99.0,2022
Kota Malang,846.1,0.16,2.06,7617.0,99.0,2022
Kota Probolinggo,243.2,0.84,0.59,4448.0,98.3,2022
Kota Pasuruan,211.5,0.96,0.51,5424.0,100.0,2022
Kota Mojokerto,134.4,0.82,0.33,6645.0,98.3,2022
Kota Madiun,199.2,1.17,0.48,5514.0,95.6,2022
Kota Surabaya,2887.2,0.26,7.02,8595.0,98.3,2022
Kota Batu,216.7,0.99,0.53,1116.0,101.4,2022
Pacitan,589034.0,0.1,1.4,411.0,100.9,2025
Ponorogo,966111.0,0.37,2.3,681.0,99.1,2025
Trenggalek,747614.0,0.47,1.78,598.0,100.3,2025
Tulungagung,1119588.0,0.57,2.66,978.0,100.1,2025
Blitar,1273451.0,0.84,3.03,730.0,100.9,2025
Kediri,1702262.0,0.85,4.04,1117.0,101.8,2025
Malang,2755438.0,0.79,6.55,793.0,100.9,2025
Lumajang,1152264.0,0.61,2.74,641.0,97.7,2025
Jember,2620135.0,0.68,6.23,791.0,99.2,2025
Banyuwangi,1764540.0,0.69,4.19,491.0,99.8,2025
Bondowoso,796300.0,0.54,1.89,512.0,97.3,2025
Situbondo,704243.0,0.56,1.67,426.0,96.6,2025
Probolinggo,1193272.0,0.73,2.84,692.0,97.4,2025
Pasuruan,1669400.0,0.82,3.97,1118.0,100.0,2025
Sidoarjo,2193692.0,1.1,5.21,3030.0,100.8,2025
Mojokerto,1162696.0,0.81,2.76,1181.0,101.0,2025
Jombang,1373793.0,0.88,3.26,1238.0,101.5,2025
Nganjuk,1138604.0,0.65,2.71,883.0,100.9,2025
Madiun,760948.0,0.47,1.81,683.0,97.8,2025
Magetan,689209.0,0.57,1.64,976.0,96.7,2025
Ngawi,887172.0,0.41,2.11,636.0,98.0,2025
Bojonegoro,1330516.0,0.46,3.16,575.0,100.5,2025
Tuban,1231374.0,0.58,2.93,624.0,99.6,2025
