kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten BONDOWOSO,10-14,26641,23647,50288
Kabupaten BONDOWOSO,15-19,22806,23938,46744
Kabupaten BONDOWOSO,20-24,25331,27672,53003
Kabupaten BONDOWOSO,25-29,25010,25949,50959
Kabupaten BONDOWOSO,30-34,28942,26535,55477
Kabupaten BONDOWOSO,35-39,26759,30539,57298
Kabupaten BONDOWOSO,40-44,29958,29094,59052
Kabupaten BONDOWOSO,45-49,28219,29292,57511
Kabupaten BONDOWOSO,50-54,23883,27495,51378
Kabupaten BONDOWOSO,55-59,30051,29054,59105
Kabupaten BONDOWOSO,60-64,21695,27112,48807
Kabupaten BONDOWOSO,65-69,21573,22553,44126
Kabupaten BONDOWOSO,70-74,12091,14854,26945
Kabupaten BONDOWOSO,75+,9040,15808,24848
Kabupaten SITUBONDO,0-4,21680,20562,42242
Kabupaten SITUBONDO,5-9,21732,21685,43417
Kabupaten SITUBONDO,10-14,24319,23982,48301
Kabupaten SITUBONDO,15-19,20544,21522,42066
Kabupaten SITUBONDO,20-24,23546,24020,47566
Kabupaten SITUBONDO,25-29,24637,25263,49900
Kabupaten SITUBONDO,30-34,24468,23620,48088
Kabupaten SITUBONDO,35-39,25577,27387,52964
Kabupaten SITUBONDO,40-44,26227,25973,52200
Kabupaten SITUBONDO,45-49,25838,26529,52367
Kabupaten SITUBONDO,50-54,24364,26270,50634
Kabupaten SITUBONDO,55-59,23610,24813,48423
Kabupaten SITUBONDO,60-64,20450,22141,42591
Kabupaten SITUBONDO,65-69,14376,17444,31820
Kabupaten SITUBONDO,70-74,9068,9947,19015
Kabupaten SITUBONDO,75+,6966,13583,20549
Kabupaten PROBOLINGGO,0-4,43171,40567,83738
Kabupaten PROBOLINGGO,5-9,42026,42326,84352
Kabupaten PROBOLINGGO,10-14,45115,41271,86386
Kabupaten PROBOLINGGO,15-19,38380,42606,80986
Kabupaten PROBOLINGGO,20-24,39025,37701,76726
Kabupaten PROBOLINGGO,25-29,43267,49810,93077
Kabupaten PROBOLINGGO,30-34,43146,47595,90741
Kabupaten PROBOLINGGO,35-39,44750,43572,88322
Kabupaten PROBOLINGGO,40-44,48368,44473,92841
Kabupaten PROBOLINGGO,45-49,38939,43015,81954
Kabupaten PROBOLINGGO,50-54,39558,39784,79342
Kabupaten PROBOLINGGO,55-59,36016,39520,75536
Kabupaten PROBOLINGGO,60-64,31692,34198,65890
Kabupaten PROBOLINGGO,65-69,20119,23863,43982
Kabupaten PROBOLINGGO,70-74,14588,19023,33611
Kabupaten PROBOLINGGO,75+,11487,19498,30985
Kabupaten PASURUAN,0-4,60877,62085,122962
Kabupaten PASURUAN,5-9,58969,54368,113337
Kabupaten PASURUAN,10-14,59877,63976,123853
Kabupaten PASURUAN,15-19,68741,60085,128826
Kabupaten PASURUAN,20-24,65167,69297,134464
Kabupaten PASURUAN,25-29,68771,65171,133942
Kabupaten PASURUAN,30-34,61360,62194,123554
Kabupaten PASURUAN,35-39,68449,70560,139009
Kabupaten PASURUAN,40-44,66904,68000,134904
Kabupaten PASURUAN,45-49,57898,57683,115581
Kabupaten PASURUAN,50-54,57016,57599,114615
Kabupaten PASURUAN,55-59,42973,42239,85212
Kabupaten PASURUAN,60-64,32388,38987,71375
Kabupaten PASURUAN,65-69,25777,26342,52119
Kabupaten PASURUAN,70-74,11059,21522,32581
Kabupaten PASURUAN,75+,16126,18142,34268
Kabupaten SIDOARJO,0-4,89015,76773,165788
Kabupaten SIDOARJO,5-9,93078,97694,190772
Kabupaten SIDOARJO,10-14,82440,80843,163283
Kabupaten SIDOARJO,15-19,85634,81846,167480
Kabupaten SIDOARJO,20-24,106757,101977,208734
Kabupaten SIDOARJO,25-29,92820,94123,186943
Kabupaten SIDOARJO,30-34,104243,101288,205531
Kabupaten SIDOARJO,35-39,106390,109753,216143
Kabupaten SIDOARJO,40-44,97839,92614,190453
Kabupaten SIDOARJO,45-49,91582,88844,180426
Kabupaten SIDOARJO,50-54,67859,76044,143903
Kabupaten SIDOARJO,55-59,64855,53353,118208
Kabupaten SIDOARJO,60-64,44643,40618,85261
Kabupaten SIDOARJO,65-69,21427,32164,53591
Kabupaten SIDOARJO,70-74,19669,20221,39890
Kabupaten SIDOARJO,75+,14896,24113,39009
Kabupaten MOJOKERTO,0-4,41513,38635,80148
